Case,Bag,Stream.Reach,Stream,Source,Leaf,Source.Leaf,Total,Shredder.Sum,Total.Sum,Shredder.Richness,Total.Richness,Sh.DIP.Tiplua,Sh.COL.Anchytarsus,Sh.PLE.Amphinemura,Sh.Amphipoda,Sh.TRI.Pycnopsyche,Sh.TRI.Hydatophylax,Sh.PLE.Leuctra,Sh.PLE.Allocapnia,Sh.TRI.Ironoquia,Sh.PLE.Strophopteryx,Sh.PLE.Taeniopteryx,Sh.TRI.Lepidostoma,Sh.Isopoda,DIP.Chironomidae,COLL.Isotomurus,TRI.Diplectrona,DIP.Prosimulium,DIP.Stegopterna,UNK.Dipteran.1,PLE.Sweltsa,ODO.Cordulegaster,DIP.Dicranota ,DIP.Simulium ,Aquatic.worm,ODO.Calopteryx,MEG.Nigronia,DIP.Hemerodromia,TRI.Hydropsyche,DIP.Ceratopogonidae,DIP.Odontomyia,TRI.Cheumatopsyche,DIP.Pseudolimnophila,EPH.Baetis,COL.Hydrobius,COL.Dineutus,EPH.Ameletus,LEP.Crambus,EPH.Acerpenna,PLE.Eccoptura,TRI.Molana,Gastropod,TRI.Psilotreta,EPH.Paraleptophelbia,TRI.Dolophilodes ,COL.Agabus,EPH.Eurylophella,TRI.Rhyacophila,MEG.Sialis,COL.Salphingidae,COL.Helichus,TRI.Chimarra,DIP.Chelifera,COL.Stenelmis,COL.Macronychus,TRI.Polycentropus,UNK.Dipteran.2,ODO.Stylogomphus,TRI.Hydroptila,COL.Stygopannus,EPH.Ephemerella,COL.Dubiraphia,PLE.Malireleus,TRI.Neophylax,MITE,COL.Tropisternus,UNK.Epheremopteran.1,ODO.Boyeria,EPH.Serratella,COL.Steremnius,DIP.Hexatoma,EPH.Attenella,TRI.Ecclisomyia,PLE.Alloperla,UNK.Dipteran.3,EPH.Habrophlebia,TRI.Moselyana,TRI.Glossosoma,PLE.Cultus,Bivalvia ,COL.Ancyronyx,DIP.Antocha,TRI.Molannodes,UNK.Dipteran.4
136,B53,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,63,23,63,4,15,0,0,8,11,3,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
137,B54,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,109,15,109,2,19,0,0,7,8,0,0,0,0,0,0,0,0,0,22,0,0,1,4,0,0,0,0,2,7,0,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,32,0,0,0,1
138,B55,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,56,10,56,3,11,0,0,4,3,3,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,B69,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,45,20,45,3,11,0,0,16,3,0,0,0,0,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,B71,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,58,13,58,2,10,0,0,12,0,0,0,0,0,0,1,0,0,0,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
156,B72,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,38,8,38,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,B73,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,17,1,17,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,B74,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,88,10,88,4,14,0,0,5,3,1,0,0,0,0,0,0,0,1,18,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,1,0
161,B78,Cascade.HW,Cascade,Headwater,F.grandifolia,HW.Beech,53,2,53,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1
139,B56,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,28,6,28,2,6,3,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,B59,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,9,3,9,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,B68,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,14,8,14,1,3,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,B76,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,4,3,4,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,B86,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,3,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,B87,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,17,2,17,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,B88,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,9,1,9,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,B90,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,B91,Cascade.MS,Cascade,Mainstem,F.grandifolia,MS.Beech,11,2,11,2,7,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,A23,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,61,6,61,3,11,0,0,2,0,1,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,1,0
22,A31,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,81,6,81,4,11,0,0,1,3,0,1,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,0,0,0
24,A33,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,66,25,66,5,14,0,0,15,3,1,0,0,2,0,4,0,0,0,22,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
28,A38,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,88,6,88,3,10,0,0,4,0,1,0,0,1,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2
33,A42,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,81,9,81,4,13,0,0,5,2,0,1,0,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0
34,A43,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,57,17,57,4,12,0,1,13,1,0,0,0,0,0,0,0,0,2,26,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
49,A59,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,104,14,104,4,12,0,0,2,2,9,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0
62,A70,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,42,14,42,5,10,0,0,5,4,3,1,0,1,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,A80,Cascade.HW,Cascade,Headwater,F.pennsylvanica,HW.Ash,29,8,29,4,13,0,0,5,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,A25,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,20,6,20,4,5,1,0,0,2,0,0,0,2,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,A49,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,5,3,5,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,A62,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,A77,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,8,5,8,2,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,A81,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,4,1,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,A86,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,9,5,9,2,4,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,A87,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,6,2,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,A91,Cascade.MS,Cascade,Mainstem,F.pennsylvanica,MS.Ash,14,2,14,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,B1,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,92,26,92,4,14,2,0,19,0,2,3,0,0,0,0,0,0,0,38,7,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,B10,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,240,39,240,4,19,1,0,35,0,0,1,0,0,0,2,0,0,0,68,5,0,12,58,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
93,B14,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,36,10,36,2,8,0,0,0,0,6,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,B2,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,27,4,27,2,7,0,0,1,0,3,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,B5,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,173,27,173,4,15,0,0,21,0,4,1,0,0,0,0,0,1,0,98,2,0,1,4,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
146,B62,Patapsco.HW,Patapsco,Headwater,F.grandifolia,HW.Beech,42,9,42,5,10,1,0,1,0,3,3,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
