Bag.Number,Species,HW.MS,Source.Leaf,Stream,Mass.loss.per.g.day,Shredder.Sum,Shredder.Richness,Total.Sum,Total.Richness
a23,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.011958177,6,3,61,11
a31,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.01082186,6,4,81,11
a33,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.013332366,25,5,66,14
a38,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.014140372,6,3,88,10
a42,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.011873911,9,4,81,13
a43,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.01170437,17,4,57,12
a44,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.019248556,13,4,101,13
a45,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.008555682,13,3,85,14
a46,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.016441304,17,3,35,8
a47,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.017693202,16,4,113,11
a53,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.015665892,23,6,95,16
a57,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.019014966,34,5,125,16
a58,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.023369772,17,2,34,6
a59,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.015526708,14,4,104,12
a60,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.011514447,4,3,44,7
a64,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.015764207,48,2,103,14
a66,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.01614468,14,5,87,8
a67,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.01543254,9,5,53,15
a68,F.pennsylvanica,Headwater,HW.Ash,Patapsco,0.016790639,22,4,110,15
a70,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.016301156,14,5,42,10
a75,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.02142002,11,3,25,8
a78,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.022837188,19,3,55,8
a80,F.pennsylvanica,Headwater,HW.Ash,Cascade,0.01386548,8,4,29,13
a88,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.021192881,10,3,55,8
a90,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.013051504,6,4,20,10
a92,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.0142559,20,4,68,12
a93,F.pennsylvanica,Headwater,HW.Ash,Rockburn,0.012365734,3,2,43,9
a25,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.011136645,6,4,20,5
a36,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.010559006,2,2,42,5
a37,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.01307715,2,1,9,5
a39,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.01393007,5,1,20,3
a40,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.01197747,1,1,19,3
a41,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.010444395,1,1,53,3
a48,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.010532133,3,2,96,9
a49,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.020041255,3,1,5,3
a50,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.016150192,3,2,67,6
a51,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.013857409,2,1,31,5
a55,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.012473665,10,2,125,6
a61,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.01336654,8,3,99,10
a62,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.018232772,0,0,1,1
a63,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.010590471,4,2,129,6
a65,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.011688081,8,2,123,7
a69,F.pennsylvanica,Mainstem,MS.Ash,Patapsco,0.013146145,3,3,15,5
a71,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.012035348,17,5,154,9
a72,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.010819912,8,2,98,8
a76,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.012067718,9,3,239,8
a77,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.012374542,5,2,8,5
a79,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.012256944,3,2,181,7
a81,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.013110075,1,1,4,3
a84,F.pennsylvanica,Mainstem,MS.Ash,Rockburn,0.010414767,3,1,118,4
a86,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.015980057,5,2,9,4
a87,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.011803836,2,1,6,3
a91,F.pennsylvanica,Mainstem,MS.Ash,Cascade,0.014907496,2,1,14,5
b1,F.grandifolia,Headwater,HW.Beech,Patapsco,0.004499839,26,4,92,14
b10,F.grandifolia,Headwater,HW.Beech,Patapsco,0.004439337,39,4,240,19
b14,F.grandifolia,Headwater,HW.Beech,Patapsco,0.004331345,10,2,36,8
b19,F.grandifolia,Headwater,HW.Beech,Rockburn,0.004049297,8,4,40,14
b2,F.grandifolia,Headwater,HW.Beech,Patapsco,0.005140766,4,2,27,7
b24,F.grandifolia,Headwater,HW.Beech,Rockburn,0.004092253,3,1,57,12
b3,F.grandifolia,Headwater,HW.Beech,Rockburn,0.004092253,0,0,26,6
b47,F.grandifolia,Headwater,HW.Beech,Rockburn,0.003126872,4,2,19,6
b48,F.grandifolia,Headwater,HW.Beech,Rockburn,0.003384708,2,2,28,5
b5,F.grandifolia,Headwater,HW.Beech,Patapsco,0.003910053,27,4,173,15
b53,F.grandifolia,Headwater,HW.Beech,Cascade,0.003840237,23,4,63,15
b54,F.grandifolia,Headwater,HW.Beech,Cascade,0.003603538,15,2,109,19
b55,F.grandifolia,Headwater,HW.Beech,Cascade,0.003994356,10,3,56,11
b62,F.grandifolia,Headwater,HW.Beech,Patapsco,0.003329426,9,5,42,10
b65,F.grandifolia,Headwater,HW.Beech,Rockburn,0.002903106,2,2,44,11
b69,F.grandifolia,Headwater,HW.Beech,Cascade,0.003432708,20,3,45,11
b7,F.grandifolia,Headwater,HW.Beech,Patapsco,0.004372517,11,4,83,13
b71,F.grandifolia,Headwater,HW.Beech,Cascade,0.003979482,13,2,58,10
b72,F.grandifolia,Headwater,HW.Beech,Cascade,0.003320378,8,1,38,8
b73,F.grandifolia,Headwater,HW.Beech,Cascade,0.003393593,1,1,17,5
b74,F.grandifolia,Headwater,HW.Beech,Cascade,0.002954422,10,4,88,14
b77,F.grandifolia,Headwater,HW.Beech,Cascade,0.002946949,2,1,53,12
b8,F.grandifolia,Headwater,HW.Beech,Patapsco,0.003563722,4,2,39,11
b80,F.grandifolia,Headwater,HW.Beech,Rockburn,0.003406579,4,2,31,8
b84,F.grandifolia,Headwater,HW.Beech,Rockburn,0.003449423,5,4,37,9
b85,F.grandifolia,Headwater,HW.Beech,Patapsco,0.004454372,16,3,67,13
b89,F.grandifolia,Headwater,HW.Beech,Rockburn,0.003924094,3,1,47,12
b12,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.00459119,3,1,32,5
b15,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002799939,0,0,94,2
b16,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.004219015,3,2,44,10
b17,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.004796502,1,1,20,5
b18,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.003603538,2,2,16,6
b20,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.005651273,1,1,27,2
b4,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.004933047,1,1,70,4
b43,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.003009813,3,2,46,6
b56,F.grandifolia,Mainstem,MS.Beech,Cascade,0.002432861,6,2,28,6
b57,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002927224,10,2,124,5
b58,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002489139,7,2,175,9
b59,F.grandifolia,Mainstem,MS.Beech,Cascade,0.004106685,3,1,9,4
b61,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002667796,8,3,215,7
b63,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.003182813,0,0,8,4
b64,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.003436378,5,2,219,8
b66,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002712018,0,0,231,6
b68,F.grandifolia,Mainstem,MS.Beech,Cascade,0.00383979,8,1,14,3
b75,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.002732858,3,2,106,6
b76,F.grandifolia,Mainstem,MS.Beech,Cascade,0.005180169,3,2,4,3
b82,F.grandifolia,Mainstem,MS.Beech,Rockburn,0.003590213,8,1,107,3
b83,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.004064899,0,0,7,2
b86,F.grandifolia,Mainstem,MS.Beech,Cascade,0.006446476,1,1,3,3
b87,F.grandifolia,Mainstem,MS.Beech,Cascade,0.002883079,2,2,17,6
b88,F.grandifolia,Mainstem,MS.Beech,Cascade,0.004402562,1,1,9,5
b9,F.grandifolia,Mainstem,MS.Beech,Patapsco,0.004064899,1,1,26,3
b90,F.grandifolia,Mainstem,MS.Beech,Cascade,0.010958682,0,0,2,1
b91,F.grandifolia,Mainstem,MS.Beech,Cascade,0.00406224,2,2,11,7
